Transaction_ID,Invoice_Date,Product_Name,Product_Category,Sales_Region,Base_Price,Units_Ordered,Discount_Percentage,Tax_Amount,Total_Invoice_USD,Payment_Method,Customer_Segment,Fulfillment_Status,Customer_Rating
TXN-2024-10050,18-02-2024,AppleWatchUltra2,WEARABLES,NORTH AMERICA,"₹66,317",25,0.00,$63.92,"19,975.00",Purchase Order,Mid-Market,Processing,4.5
TXN-2024-10051,2024.01.17,ipad pro 12.9,Tablets,N. America,"$1,099.00",20,5%,$87.92,"20,881.00",PayPal,Direct Consumer,In Transit,Pending
TXN-2024-10052,2024.02.07,Logitech MX Master 3S,Accessories,latin america,$99,13,10%,,$1158.30,ACH Transfer,Small Business,Pending Approval,3.5
TXN-2024-10053,10/25/2024,APPLE WATCH ULTRA 2,Wearables,Asia-Pac,$799.00,11,20%,$63.92,$7031.20,Corporate Wire,Mid-Market,Delivered,3.5
TXN-2024-10054,2024/09/25,Bose QC 45,audio,middle east,329.00,20,0.25,N/A,$4935.00,Cryptocurrency,Direct Consumer,Delivered,3.0
TXN-2024-10055,28 Dec 2024,Galaxy S24 Ultra,Electronics,latin america,"₹107,817",1,0.30,$103.92,$909.30,Cryptocurrency,Mid-Market,In Transit,5.0
TXN-2024-10056,2024.02.22,samsung galaxy s24 ultra,Electronics,ASIA PACIFIC,"$1,299.00",3,0.20,$103.92,"$3,117.60",Cryptocurrency,Direct Consumer,Refunded,3.0
TXN-2024-10057,2024-12-10,Dell XPS 15,Computers,ASIA PACIFIC,1899.50 USD,3,5%,$151.96,$5413.57,PayPal,Mid-Market,Pending Approval,1.0
TXN-2024-10058,02/21/2024,sony wh-1000xm5,Audio,North America,"₹33,199",2,0.00,$32.00,799.98,Corporate Wire,Direct Consumer,Processing,2.0
TXN-2024-10059,2024-03-19,iphone 15 pro,Electronics,Latin America,999.00,9,15%,$79.92,"$7,642.35",Purchase Order,Enterprise,Cancelled,4.5
TXN-2024-10060,2024-09-19,"IPAD PRO 12.9""",Tablets,NORTH AMERICA,1099.00 USD,22,0.25,$87.92,"$18,133.50",Corporate Wire,Mid-Market,Processing,3.5
TXN-2024-10061,2024.03.25,LOGITECH MX MASTER,Accessories,asia pacific,$99,23,20%,$7.92,$1821.60,PayPal,Mid-Market,Delivered,4.5
TXN-2024-10062,08/23/2024,macbook pro 16-inch,Computers,Mid East,"$2,499",226,0.00,$199.92,$564774.00,ACH Transfer,Enterprise,Pending Approval,
TXN-2024-10063,2024.02.10,DELL XPS 15,Computers,N. America,1899.50 USD,11,0%,$151.96,"$20,894.50",ACH Transfer,Enterprise,Pending Approval,3.0
TXN-2024-10064,04/08/2024,Sony Headphones XM5,AUDIO,europe west,$399.99,8,10%,$32.00,"$2,879.93",Credit Card,Mid-Market,Refunded,5.0
TXN-2024-10065,2024.06.27,"IPAD PRO 12.9""",Tablets,north america,1099.00 USD,9,20%,$87.92,"$7,912.80",Purchase Order,Direct Consumer,Processing,3.5
TXN-2024-10066,09 Sep 2024,BOSE QC45,Audio,MENA,329.00,160,0%,$26.32,$52640.00,ACH Transfer,Mid-Market,In Transit,1.0
TXN-2024-10067,2024.07.17,Bose QuietComfort 45,Audio,MENA,$329.00,20,0.10,$26.32,$5922.00,ACH Transfer,Government,Pending Approval,2.0
TXN-2024-10068,2024.01.16,Logitech Mouse MX3S,Accessories,Europe West,99.00 USD,12,30%,$7.92,$831.60,Corporate Wire,Government,Pending Approval,4.5
TXN-2024-10069,2024-01-26,sony wh-1000xm5,Audio,LATAM,399.99,17,0.00,$32.00,"6,799.83",PayPal,Small Business,Delivered,4.8
TXN-2024-10070,01-01-2024,samsung galaxy s24 ultra,Electronics,APAC,"$1,299.00",,25%,$103.92,$974.25,Credit Card,---,Delivered,3.0
TXN-2024-10071,17-12-2024,Bose QuietComfort 45,AUDIO,S. America,$329,24,30%,$26.32,$5527.20,ACH Transfer,Enterprise,Delivered,4.2
TXN-2024-10072,09-06-2024,sony wh-1000xm5,Audio,middle east,"₹33,199",,0.00,$32.00,399.99,ACH Transfer,Government,Pending Approval,4.5
TXN-2024-10073,2024-05-24,Bose QuietComfort 45,AUDIO,S. America,$329,11,5%,$26.32,"₹285,358",Cryptocurrency,Enterprise,Refunded,1.0
TXN-2024-10074,11/19/2024,Sony Headphones XM5,Audio,middle east,$399.99,9,0.20,$32.00,$2879.93,Corporate Wire,Government,Refunded,1.0
TXN-2024-10075,2024/11/05,samsung galaxy s24 ultra,Electronics,Middle East,"€1,195.08",,25%,$103.92,$974.25,Cryptocurrency,Government,Delivered,3.5
TXN-2024-10076,2024-10-11,samsung galaxy s24 ultra,Electronics,latin america,"$1,299",19,10%,$103.92,"$22,212.90",Cryptocurrency,Government,Delivered,1.0
TXN-2024-10077,2024.08.09,Bose QC 45,Audio,EU-West,$329.00,19,15%,$26.32,"$5,313.35",ACH Transfer,Enterprise,Refunded,4.0
TXN-2024-10078,2024.12.13,iphone15pro,electronics,Europe-W,$999,22,0.15,N/A,"₹1,550,548",Cryptocurrency,Enterprise,Cancelled,4.8
TXN-2024-10079,2024/08/07,Bose QC 45,Audio,EUROPE WEST,€302.68,7,0.05,$26.32,$2187.85,PayPal,Mid-Market,In Transit,5.0
TXN-2024-10080,19-11-2024,sony wh-1000xm5,Audio,europe west,$400,23,30%,$32.00,$6439.84,ACH Transfer,Mid-Market,Cancelled,5.0
TXN-2024-10081,17 Oct 2024,"iPad Pro 12.9""",Tablets,North America,1099.00 USD,15,25%,$87.92,$12363.75,Purchase Order,Enterprise,In Transit,4.5
TXN-2024-10082,2024/01/08,"MACBOOK PRO 16""",Computers,NORTH AMERICA,"$2,499",24,20%,$199.92,"47,980.80",Credit Card,Direct Consumer,Processing,1.0
TXN-2024-10083,19-10-2024,Galaxy S24 Ultra,Electronics,asia pacific,1299.00,4,5%,$103.92,"4,936.20",Cryptocurrency,Government,Refunded,5.0
TXN-2024-10084,2024.08.02,"MacBook Pro 16""",Computers,Latin America,2499.00 USD,22,30%,$199.92,$38484.60,Corporate Wire,Direct Consumer,In Transit,1.0
TXN-2024-10085,16-10-2024,"MACBOOK PRO 16""",Computers,Latin America,"₹207,417",18,10%,N/A,$40483.80,ACH Transfer,Small Business,Pending Approval,5.0
TXN-2024-10086,26-09-2024,"MACBOOK PRO 16""",Computers,ASIA PACIFIC,2499.00,15,5%,$199.92,$35610.75,Credit Card,Enterprise,Delivered,3.5
TXN-2024-10087,2024.07.13,Galaxy S24 Ultra,Electronics,NA Region,"$1,299",17,10%,$103.92,$19874.70,ACH Transfer,Enterprise,Cancelled,4.5
TXN-2024-10088,07/19/2024,iphone15pro,ELECTRONICS,europe west,$999,22,0%,$79.92,$21978.00,ACH Transfer,Government,Processing,4.5
TXN-2024-10089,06/13/2024,Dell XPS15,Computers,NA Region,"₹157,658",13,5%,$151.96,$23458.82,PayPal,Mid-Market,Processing,4.5
TXN-2024-10090,01-09-2024,LG OLED 65 TV,Displays,MENA,"₹141,017",25,5%,$135.92,"$40,351.25",Credit Card,Mid-Market,Processing,4.5
TXN-2024-10091,20 Feb 2024,iPhone 15 Pro,Electronics,S. America,€919.08,8,10%,,$7192.80,PayPal,Government,Cancelled,4.5
TXN-2024-10092,2024-11-16,ipad pro 12.9,TABLETS,EU-West,"€1,011.08",13,30%,$87.92,$10000.90,Corporate Wire,Direct Consumer,Refunded,4.5
TXN-2024-10093,2024/07/19,iPhone 15 Pro,Electronics,Asia Pacific,"₹82,917",23,5%,$79.92,$21828.15,Credit Card,Government,Delivered,Pending
TXN-2024-10094,09-01-2024,Logitech MX Master 3S,Accessories,Latin America,€91.08,2,5%,$7.92,$188.10,null,Enterprise,Processing,3.0
TXN-2024-10095,13-05-2024,apple watch ultra 2,Wearables,MENA,$799,18,30%,$63.92,$10067.40,null,Direct Consumer,Refunded,4.0
TXN-2024-10096,05-03-2024,Apple Watch Ultra 2,Wearables,LATAM,$799,5,0.20,$63.92,$3196.00,Corporate Wire,Direct Consumer,Refunded,2.0
TXN-2024-10097,2024-03-05,Bose QC 45,audio,europe west,$329,8,0.20,$26.32,"$2,105.60",PayPal,Enterprise,In Transit,4.8
TXN-2024-10098,17-05-2024,Sony WH-1000XM5,Audio,Mid East,€367.99,23,0%,$32.00,"$9,199.77",PayPal,Enterprise,Cancelled,4.0
TXN-2024-10099,17 Jan 2024,"LG OLED 65"" TV",Displays,N. America,1699.00 USD,4,0.20,$135.92,"5,436.80",Cryptocurrency,Small Business,Refunded,3.5
TXN-2024-10100,2024-10-15,sony wh-1000xm5,Audio,Mid East,€367.99,594,25%,$32.00,"178,195.54",Corporate Wire,Small Business,Pending Approval,4.0
TXN-2024-10101,2024/01/13,Dell XPS 15,Computers,Middle East,"€1,747.54",1,5%,$151.96,"(1,804.52)",Cryptocurrency,Mid-Market,Pending Approval,4.5
TXN-2024-10102,07-08-2024,lg oled 65,Displays,North America,1699.00 USD,2,25%,$135.92,"₹211,526",Purchase Order,Direct Consumer,In Transit,2.0
TXN-2024-10103,11/01/2024,Dell XPS 15,computers,N. America,"$1,900",1,0.25,N/A,$1424.62,Purchase Order,Enterprise,Processing,Pending
TXN-2024-10104,08-05-2024,Galaxy S24 Ultra,Electronics,north america,"€1,195.08",457,25%,$103.92,"$445,232.25",Purchase Order,Small Business,Cancelled,3.5
TXN-2024-10105,2024.07.06,IPHONE 15 PRO,Electronics,Europe West,€919.08,23,30%,$79.92,"$16,083.90",Purchase Order,Enterprise,Pending Approval,3.0
TXN-2024-10106,2024.07.14,Sony Headphones XM5,Audio,europe west,$400,21,0.05,$32.00,"₹662,323",PayPal,Enterprise,Pending Approval,4.2
TXN-2024-10107,2024/02/15,Samsung Galaxy S24 Ultra,ELECTRONICS,asia pacific,1299.00,4,0%,$103.92,"5,196.00",PayPal,Direct Consumer,Refunded,3.0
TXN-2024-10108,2024/09/18,Apple Watch Ultra 2,Wearables,north america,$799.00,12,15%,$63.92,"8,149.80",ACH Transfer,Government,Cancelled,
TXN-2024-10109,17 Mar 2024,Bose QuietComfort 45,audio,Europe West,329.00 USD,15,0.10,$26.32,$4441.50,Corporate Wire,Government,Delivered,4.2
TXN-2024-10110,13 Jan 2024,Galaxy S24 Ultra,Electronics,EUROPE WEST,"€1,195.08",6,25%,$103.92,$5845.50,Credit Card,Small Business,Pending Approval,4.0
TXN-2024-10111,2024/11/12,Dell XPS 15,Computers,middle east,1899.50 USD,6,5%,$151.96,$10827.15,Corporate Wire,Small Business,In Transit,4.8
TXN-2024-10112,02-07-2024,iPadPro 12.9,TABLETS,Europe-W,"$1,099",24,20%,$87.92,$21100.80,Corporate Wire,Government,Pending Approval,2.0
TXN-2024-10113,2024-02-14,apple watch ultra 2,Wearables,ASIA PACIFIC,799.00,,30%,$63.92,559.30,ACH Transfer,Enterprise,Pending Approval,4.0
TXN-2024-10114,2024.12.04,Galaxy S24 Ultra,Electronics,EU-West,"€1,195.08",195,15%,$103.92,"$215,309.25",ACH Transfer,Government,Refunded,2.0
TXN-2024-10115,18-12-2024,Dell XPS 15,Computers,Latin America,1899.50 USD,6,10%,$151.96,"(10,257.30)",null,Mid-Market,Pending Approval,Pending
TXN-2024-10116,2024.01.23,APPLE WATCH ULTRA 2,Wearables,EUROPE WEST,"₹66,317",25,20%,$63.92,$15980.00,Purchase Order,Mid-Market,Cancelled,2.0
TXN-2024-10117,12/22/2024,Bose QuietComfort 45,Audio,EUROPE WEST,$329,12,25%,$26.32,"2,961.00",Cryptocurrency,Enterprise,Pending Approval,5.0
TXN-2024-10118,2024/04/12,"MACBOOK PRO 16""",Computers,latin america,2499.00,4,20%,$199.92,"7,996.80",ACH Transfer,Direct Consumer,Processing,3.5
TXN-2024-10119,2024/02/20,bose quietcomfort 45,Audio,APAC,329.00,2,5%,,$625.10,Purchase Order,Government,Cancelled,5.0
TXN-2024-10120,09 Aug 2024,"IPAD PRO 12.9""",Tablets,europe west,1099.00 USD,474,0%,$87.92,"₹43,236,858",PayPal,Government,Processing,4.2
TXN-2024-10121,06/01/2024,LG OLED 65 TV,Displays,asia pacific,"€1,563.08",23,0.30,,$27353.90,Corporate Wire,Mid-Market,Delivered,
TXN-2024-10122,2024/08/10,"LG OLED 65"" TV",Displays,Europe-W,"$1,699.00",220,15%,$135.92,$317713.00,Corporate Wire,Government,Cancelled,1.0
TXN-2024-10123,2024-04-07,iphone15pro,Electronics,ASIA PACIFIC,$999,14,0.10,$79.92,$12587.40,Purchase Order,Small Business,Pending Approval,
TXN-2024-10124,09-02-2024,Sony Headphones XM5,Audio,europe west,$400,8,5%,,$3039.92,Purchase Order,Small Business,Cancelled,2.0
TXN-2024-10125,2024-01-24,LG OLED 65 TV,Displays,EU-West,"€1,563.08",18,30%,$135.92,"₹1,776,814",Credit Card,Enterprise,Pending Approval,1.0
TXN-2024-10126,2024.05.10,Logitech Mouse MX3S,accessories,Europe West,$99.00,14,0.05,$7.92,"1,316.70",PayPal,Mid-Market,Processing,3.5
TXN-2024-10127,05-07-2024,IPHONE 15 PRO,Electronics,Middle East,"₹82,917",5,10%,$79.92,"₹373,126",ACH Transfer,Small Business,Cancelled,4.5
TXN-2024-10128,06 Jul 2024,Sony Headphones XM5,audio,LATAM,$399.99,25,0.30,$32.00,"(6,999.82)",PayPal,Enterprise,Pending Approval,4.2
TXN-2024-10129,05/12/2024,LG 65-inch OLED,Displays,APAC,1699.00,19,5%,$135.92,"(30,666.95)",Credit Card,Government,Cancelled,4.8
TXN-2024-10130,14-04-2024,"MacBook Pro 16""",Computers,Mid East,"$2,499.00",2,25%,$199.92,"₹311,126",ACH Transfer,Government,In Transit,4.2
TXN-2024-10131,2024.06.02,LG OLED 65 TV,displays,europe west,"$1,699",17,20%,$135.92,"$23,106.40",ACH Transfer,Enterprise,Delivered,3.0
TXN-2024-10132,2024.04.05,samsung galaxy s24 ultra,Electronics,Middle East,1299.00,20,0.15,$103.92,$22083.00,Cryptocurrency,Enterprise,In Transit,5.0
TXN-2024-10133,2024/12/11,"IPAD PRO 12.9""",Tablets,latin america,"₹91,217",7,30%,$87.92,"5,385.10",ACH Transfer,Small Business,Cancelled,2.0
TXN-2024-10134,06-03-2024,Logitech Mouse MX3S,accessories,LATAM,$99,,0.10,$7.92,$89.10,Purchase Order,Small Business,In Transit,3.5
TXN-2024-10135,2024-07-19,BOSE QC45,Audio,EUROPE WEST,€302.68,5,20%,$26.32,"$1,316.00",Corporate Wire,Government,Processing,5.0
TXN-2024-10136,2024/12/26,Logitech MX Master 3S,Accessories,EU-West,99.00 USD,8,0.15,$7.92,"₹55,876",Purchase Order,Direct Consumer,Processing,4.0
TXN-2024-10137,2024.10.02,SAMSUNG GALAXY S24 ULTRA,Electronics,N. America,"₹107,817",25,30%,$103.92,"₹1,886,798",Purchase Order,Enterprise,Refunded,5.0
TXN-2024-10138,2024-08-01,Sony WH-1000XM5,Audio,N. America,399.99 USD,6,0.15,$32.00,$2039.95,Purchase Order,Government,Refunded,4.2
TXN-2024-10139,07 May 2024,Bose QuietComfort 45,Audio,Europe West,"₹27,307",13,0.00,$26.32,"₹354,991",Corporate Wire,Direct Consumer,In Transit,3.0
TXN-2024-10140,2024-02-13,macbook pro 16,Computers,Asia-Pac,2499.00,1,0.00,$199.92,"2,499.00",Cryptocurrency,Small Business,Delivered,3.0
TXN-2024-10141,14 Feb 2024,Dell XPS15,Computers,north america,1899.50 USD,25,5%,$151.96,$45113.12,PayPal,Government,Delivered,4.8
TXN-2024-10142,2024/01/04,lg oled 65,Displays,Europe West,1699.00,6,0.00,$135.92,$10194.00,Corporate Wire,Government,Pending Approval,1.0
TXN-2024-10143,05/04/2024,"MacBook Pro 16""",Computers,North America,2499.00,7,30%,$199.92,"12,245.10",Corporate Wire,Mid-Market,Refunded,5.0
TXN-2024-10144,2024-08-05,Samsung Galaxy S24 Ultra,Electronics,Asia Pacific,"€1,195.08",12,5%,$103.92,"(14,808.60)",Cryptocurrency,Enterprise,Pending Approval,3.5
TXN-2024-10145,2024.07.12,"MacBook Pro 16""",Computers,Europe West,"$2,499.00",,5%,$199.92,$2374.05,Cryptocurrency,Mid-Market,Refunded,4.0
TXN-2024-10146,14-01-2024,"IPAD PRO 12.9""",Tablets,Europe-W,"$1,099",13,30%,$87.92,$10000.90,Cryptocurrency,---,In Transit,4.2
TXN-2024-10147,2024/02/20,APPLE WATCH ULTRA 2,wearables,MENA,799.00 USD,378,0.20,$63.92,$241617.60,PayPal,Government,Cancelled,5.0
TXN-2024-10148,2024.06.07,bose quietcomfort 45,Audio,APAC,$329.00,6,5%,$26.32,"1,875.30",ACH Transfer,Mid-Market,Processing,4.8
TXN-2024-10149,20 Feb 2024,iPhone 15 pro,Electronics,europe west,€919.08,18,20%,$79.92,"$14,385.60",Corporate Wire,Direct Consumer,In Transit,4.0
TXN-2024-10150,11 Nov 2024,"MACBOOK PRO 16""",Computers,Middle East,2499.00,24,10%,$199.92,"$53,978.40",Purchase Order,Small Business,In Transit,3.0
TXN-2024-10151,10 Feb 2024,sony wh-1000xm5,Audio,NA Region,$399.99,17,0%,$32.00,$6799.83,ACH Transfer,Mid-Market,Delivered,1.0
TXN-2024-10152,06/10/2024,macbook pro 16-inch,Computers,APAC,"$2,499.00",21,0.25,$199.92,"₹3,266,818",Corporate Wire,Direct Consumer,Processing,4.0
TXN-2024-10153,03/28/2024,sony wh-1000xm5,Audio,Latin America,"₹33,199",14,0%,$32.00,$5599.86,Cryptocurrency,Mid-Market,Delivered,5.0
TXN-2024-10154,24-10-2024,iPhone 15 pro,Electronics,S. America,$999,,5%,$79.92,$949.05,ACH Transfer,Enterprise,Pending Approval,3.0
TXN-2024-10155,05 Feb 2024,macbook pro 16,COMPUTERS,S. America,"€2,299.08",20,20%,$199.92,"$39,984.00",Purchase Order,Small Business,Processing,4.5
TXN-2024-10156,2024/07/04,LG OLED 65 TV,Displays,APAC,"₹141,017",17,30%,$135.92,"$20,218.10",null,Government,In Transit,2.0
TXN-2024-10157,2024.12.10,SONY WH1000XM5,audio,middle east,"₹33,199",3,15%,$32.00,$1019.97,Purchase Order,Enterprise,Cancelled,4.0
TXN-2024-10158,17-12-2024,SONY WH1000XM5,Audio,MENA,€367.99,23,20%,$32.00,"7,359.82",Corporate Wire,Direct Consumer,In Transit,
TXN-2024-10159,08 Oct 2024,logitech mx master 3s,Accessories,north america,99.00 USD,25,15%,$7.92,$2103.75,ACH Transfer,Mid-Market,Cancelled,1.0
TXN-2024-10160,10/24/2024,Dell XPS 15,Computers,N. America,"€1,747.54",16,15%,$151.96,$25833.20,PayPal,Mid-Market,Processing,3.0
TXN-2024-10161,2024-01-26,Samsung Galaxy S24 Ultra,Electronics,north america,"$1,299",19,0%,$103.92,$24681.00,Corporate Wire,Small Business,In Transit,2.0
TXN-2024-10162,2024/03/27,dell xps 15,Computers,NA Region,1899.50 USD,507,15%,$151.96,"818,589.53",ACH Transfer,Direct Consumer,In Transit,4.2
TXN-2024-10163,08 Jun 2024,DELL XPS 15,Computers,Asia-Pac,"$1,899.50",4,15%,$151.96,"6,458.30",Corporate Wire,Enterprise,Cancelled,4.2
TXN-2024-10164,2024.12.08,"MACBOOK PRO 16""",Computers,asia pacific,"₹207,417",22,25%,$199.92,$41233.50,ACH Transfer,Direct Consumer,Refunded,5.0
TXN-2024-10165,2024.11.26,Logitech Mouse MX3S,Accessories,latin america,€91.08,20,20%,$7.92,$1584.00,Cryptocurrency,Mid-Market,Pending Approval,4.2
